sku,order,text
#3ANN5948,1,Straightens hair 2 times faster than a flat iron
#3ANN5948,2,Tourmaline plated bristles provide even heat
#3ANN5948,3,Over 430 F high heat
#3ANN5948,4,"Creates negative ions for shiny, frizz-free hair"
#3ANN5948,5,"360"" Swivel cord for easy styling"
#3ANN5505,1,Straightens and smooths hair
#3ANN5505,2,Brass with copper infused plate
#3ANN5506,1,Straightens and smooths hair
#3ANN5506,2,Brass with copper infused plate
#3ANN5506,3,Straightens and smooths hair
#3ANN5507,1,Straightens and smooths hair
#3ANN5507,2,Brass with copper infused plate
#3ANN5512,1,Straightens and smooths hair
#3ANN5512,2,Stainless steel plate
#3ANN5819,1,"3/4"" Barrel"
#3ANN5820,1,"1"" Barrel"
#3ANN5860,1,"1/4"" Barrel"
#3ANN5860,2,450 'F Temperature
#3ANN5860,3,2 Temperature settings
#3ANN5821,1,"1 1/2"" Barrel"
#3ANN5816,1,"3/8"" Barrel"
#3ANN5816,2,"430 ""F Temperature"
#3ANN5817,1,"1/2"" Barrel"
#3ANN5817,2,"430 ""F Temperature"
#3ANN5818,1,"5/8"" Barrel"
#3ANN5818,2,"430 ""F Temperature"
#3ANN5530,1,Medium straight teeth
#3ANN5531,1,Medium curved teeth
#3ANN5532,1,Medium double side teeth
#3ANN5533,1,Medium teeth small temple
#3ANN5534,1,Medium wide teeth
#3ANN5955,1,Tangle free power cord
#3ANN5955,2,Medium straight teeth
#3ANN5965,1,Tangle free power cord
#3ANN5965,2,Curved teeth
#3ANN5797,1,Extreme precision high performance trimming blades
#3ANN5797,2,Long lasting lithium battery
#3ANN5797,3,4 hours run time
#3ANN5797,4,Quick charge
#3ANN5797,5,Universal USB charging cable
#3ANN5797,6,Waterproof washable blades
#3ANN5797,7,"Includes clipper guides (1 mm, 2mm, & 3mm)"
#1AN3000,1,"Lifts, shapes and smooths hair as you dry"
#1AN3000,2,Universal fit for most hand-held dryers
#1AN3001,1,"Lifts, shapes and smooths hair as you dry"
#1AN3001,2,Universal fit for most hand-held dryers
#1AN3002,1,"Lifts, shapes and smooths hair as you dry"
#1AN3002,2,Universal fit for most hand-held dryers
#1AN2987,1,"Lifts, shapes and smooths hair as you dry"
#1AN2987,2,Universal fit for almost all hair dryers
#1AN2999,1,"Lifts, shapes and smooths hair as you dry"
#1AN2999,2,Universal fit for most hand-held dryers
#3ANN5526,1,Ceramic element for quick and even heat distribution
#3ANN5526,2,High adjustable rack with extended sides for tool support
#3ANN5526,3,Jumbo Size
#3ANN5526,4,"High Heat up to 825 ""F"
#3ANN5526,5,120V
#3ANN5527,1,Ceramic element for quick and even heat distribution
#3ANN5527,2,High adjustable rack with extended sides for tool support
#3ANN5527,3,"High Heat up to 825 ""F"
#3ANN5527,4,120V
#3ANN5501,1,Straightens and smooths hair
#3ANN5502,1,Straightens and smooths hair
#3ANN5503,1,Straightens and smooths hair
#3ANN5504,1,Straightens and smooths hair
#3ANN5508,1,Straightens and smooths hair
#3ANN5510,1,Straightens and smooths hair
#1AN2000,1,Wire ball-tipped bristles
#1AN2000,2,Gently massages the scalp
#1AN2000,3,Comfortable grip
#1AN2001,1,Designed for all types of wigs
#1AN2001,2,"Use short lifting strokes on wigs with tight curls, soft curls or waves"
#1AN2001,3,Comfortable grip
#1AN2214,1,Wire ball-tipped bristles
#1AN2013,1,Ball-tipped bristles
#1AN2013,2,Gently massages the scalp
#1AN2013,3,Comfortable grip
#1AN2013,4,Assorted color: purple & blue
#1AN2014,1,Ball-tipped bristles
#1AN2014,2,Gently massages the scalp
#1AN2014,3,Comfortable grip
#1AN2014,4,Assorted color: purple & blue
#1AN2212,1,Great for detangling & smoothing out hair
#1AN2920,1,Has thumb/finger holder on top for easy use
#1AN2920,2,"Assorted color: blue, red & black"
#1AN2021,1,"Assorted translucent colors: Brown, Blue, Teal, Purple, Clear & Red"
#1AN2021,2,All-purpose brush
#1AN2022,1,"Assorted colors: Green, Red, Yellow and Orange"
#1AN2022,2,All-purpose brush
#1AN2023,1,"Assorted colors: Tea, Red, Blue and Black"
#1AN2023,2,All-purpose brush
#1AN2250,1,Nylon bristles
#1AN2250,2,Nnn-slin nrin finish
#1AN2251,1,Ball-tipped nylon bristles
#1AN2251,2,Non-slip grip finish
#1AN2252,1,Ball-tipped nylon bristles
#1AN2252,2,Non-slip grip finish
#1AN2253,1,Ball-tipped nylon bristles
#1AN2253,2,Non-slip grip finish
#1AN2030,1,Ball-tipped bristles
#1AN2030,2,Maximizes volume
#1AN2030,3,Comfortable grip
#1AN2030,4,Assorted colors: red & blue
#1AN2204,1,Adds luster and shine
#1AN2204,2,Ball-tipped bristles
#1AN2204,3,Easily removes tangles
#1AN2204,4,Gently massages the scalp
#1AN2204,5,Jumbo size
#1AN2330,1,"Assorted colors: burgundy, blue & gray"
#1AN2331,1,"Assorted colors: burgundy, blue & gray"
#1AN2331,2,"Assorted colors: burgundy, blue & gray"
#1AN2071,1,Soft 100% natural boar and hard reinforced bristle s
#1AN2072,1,Soft 100% natural boar and hard reinforced bri s tle s
#1AN2068,1,Soft 100% natural boar and hard reinforced bri s tle s
#1AN2092,1,Soft 100% natural boar and hard reinforced bri s tle s
#1AN2070,1,Hard bristles
#1AN2070,2,100% Boar/reinforced bristles
#1AN2073,1,Soft 100% natural boar bristles
#1AN2074,1,Soft 100% natural boar and hard reinforced bristles
#1AN2074,2,Polished natural hardwood handle
#1AN2069,1,Hard bristles
#1AN2069,2,100% Boar/reinforced bristles
#1AN2099,1,Hard bristles
#1AN2099,2,Reinforced bristles
#1AN2104,1,Metal bristles without ball-tips
#1AN2104,2,Designed for all types of wigs
#1AN2104,3,Pointed tip handle
#1AN2104,4,Assorted colors: red & black
#1AN2105,1,Designed for all types of wigs
#1AN2105,2,Use short lifting strokes on wigs with
#1AN2106,1,Designed for all types of wigs
#1AN2106,2,Use short lifting strokes on wigs
#1AN2150,1,"Created for back brushing, creating volume, and teasing"
#1AN2150,2,Pointed tip handle
#1AN2018,1,Adds luster and volume
#1AN2018,2,Bristles correct frizz and dull hair
#1AN2018,3,Rubberized soft comfortable grip
#1AN2018,4,Assorted color: green & red
#1AN0232,1,Metal tooth
#1AN0232,2,"Ideal for curly, wave or permed hair styles"
#1AN0232,3,Black color
#1AN0234,1,Perfect for styling hair
#1AN0234,2,Black color
#1AN0035,1,Comb with plastic pik
#1AN0035,2,Bone and blue colors BONE BLUE
#1AN0036,2,Comb with metal pik
#1AN0036,3,Ball tipped pik
#1AN0036,4,Black and blue colors BLACK BLUE
#1AN0020,2,Perfect for styling hair
#1AN0020,3,"Black, bone and red colors"
#1AN0020,4,With package BLACK BONE
#1AN0024,2,Perfect for styling hair
#1AN0024,3,"Assorted bone, blue and red colors BONE BLUE RED REO"
#1AN0015,1,Perfect for styling hair
#1AN0015,2,Black color
#1AN0034,1,Perfect for styling hair
#1AN0034,2,Designed for all hair lengths
#1AN0034,3,Bone color
#1AN0016,1,Black color
#1AN0016,2,With package
#1AN0026,1,Bone color
#1AN0026,2,With package
#1AN0029,1,With package
#1AN0030,1,Bone color
#1AN0030,2,With package
#1AN0081,1,Black color
#1AN0082,1,Bone color
#1AN0023,1,"Assorted black, bone and red colors"
#1AN0208,2,Colored ball tips w
#1AN0208,3,"Assorted black, pink, blue and purple"
#1AN0208,4,With package:::::> BLACK PINK BLUE PURPLE
#1AN0210,2,Colored ball tips
#1AN0210,3,"Assorted black, pink, blue and purple"
#1AN0210,4,With package BLACK PINK BLUE PURPLE #1AN0210 #1AN0208
#1AN0212,1,"Black, blue, pink and bone colors"
#1AN0214,1,"Black, bone, pink and purple colors"
#1AN0218,1,"Assorted black, bone, blue and red colors"
#1AN0228,1,Designed for all hair lengths
#1AN0228,2,Black color
#1AN0008,1,Perfect for styling hair
#1AN0008,2,Bone color
#1AN0004,2,Perfect for styling hair
#1AN0004,3,"Black, bone, pink and blue BLACK BONE PINK BLUE"
#1AN0006,1,"Assorted black, bone and red"
#1AN0006,2,With package Leaves hair perfectly s1yled and tangle-free BLACK BONE RED
#1AN0010,1,Designed for hair coils and twists
#1AN0012,1,Perfect for styling hair
#1AN0012,2,"Black, Gold and Silver"
#1AN0022,1,"Assorted black, bone and red colors"
#1AN2601,2,"Dual-ended, brush & comb"
#1AN2601,3,100% Natural boar bristle
#1AN2601,4,"Tames hair edges, baby hairs & sideburn"
#1AN2609,1,100% Natural boar & reinforced bristles keeps edges laid and smooth
#1AN2609,2,Comb end grooms and smooths edges for a polished finish
#1AN2609,4,Pintail & sectioning hook tip separates and sections hair
#1AN2609,5,"Carbon fiber material is heat safe up to 450""F"
#1AN2609,6,"Assorted colors pink, red & purple"
#1AN2602,1,"Dual-ended, brush & comb"
#1AN2602,2,100% Natural boar bristle
#1AN2602,3,"Tames hair edges, baby hairs & sideburn"
#1AN2602,4,"Purple, pink, red and black assorted"
#1AN2602,5,Includes 24ct
#1AN2603,1,100% Natural Boar keeps edges laid and smooth
#1AN2603,2,Comb end grooms and smooths edges for a polished finish
#1AN2603,3,Spatula applicator for easy and mess free application
#1AN2603,4,Includes 24ct
#1AN2604,1,100% Natural Boar keeps edges laid and smooth
#1AN2604,2,Comb end grooms and smooths edges for a polished finish
#1AN2604,3,Pintail separates and sections hair
#1AN2604,4,Includes 24ct
#1AN0096,1,"Perfect for braiding, parting, sectioning, teasing and styling"
#1AN0097,1,"Perfect for braiding, parting, sectioning, teasing and styling"
#1AN0028,1,Perfect for styling hair
#1AN0028,2,Bone color
#1AN0044,1,Perfect for styling hair
#1AN0044,2,Bone color
#1AN0068,1,Designed for all hair lengths
#1AN0068,2,Black color
#1AN0069,1,Designed for all hair lengths
#1AN0069,2,Hard rubber comb
#1AN0069,3,"Heat resistant, strong but flexible"
#1AN0069,4,Black color
#1AN0232,1,Metal tooth
#1AN0232,2,"Ideal for curly, wave or permed hair styles"
#1AN0232,3,Black color
#1AN0234,1,Perfect for styling hair
#1AN0234,2,Black color
#1AN0045,1,Metal Tooth
#1AN0045,2,"Ideal for curly, wavy or permed hair styles"
#1AN0046,1,Metal Tooth
#1AN0046,2,"Ideal for curly, wavy or permed hair styles"
#1AN0047,1,Extra Long
#1AN0047,2,Metal Tooth
#1AN0047,3,"Ideal for curly, wavy or permed hair styles"
#1AN0006,1,"Assorted black, bone and red"
#1AN0006,2,With package BLACK BONE RED
#1AN0004,2,Perfect for styling hair
#1AN0004,3,"Black, bone, pink and blue BLACK BONE PINK BLUE"
#1AN0008,1,Perfect for styling hair
#1AN0008,2,Bone color
#1AN0010,1,Designed for hair coils and twists
#1AN0012,1,Perfect for styling hair
#1AN0012,2,"Black, Gold and Silver"
#1AN0022,1,"Assorted black, bone and red colors"
#1AN0017,1,Assorted color
#1AN0018,1,Assorted color
#1AN0102,1,"Green, sky blue, pink, yellow color"
#1AN064,1,"9"" length"
#1AN064,2,Assorted colors
#1AN2925,1,Features soft bristles to remove loose hair
#1AN2927,1,Features easy push to release powder through bristles (Powder not included)
#1AN2927,2,Black color
#1AN5310,1,One size fits most
#1AN5310,3,o
#1AN5310,4,"Durable, disposable, and inexpensive"
#1AN5310,5,"Asst Color: Yellow, Rose, Blue, Green, White and Purple YELLOW ROSE BLUE GREEN WHITE PURPLE"
#1AN6971,1,100% Pure cotton
#1AN6971,2,"Solt, gentle and absorbent"
#1AN6971,3,Ideal for removing makeup
#1AN6973,1,100% Pure cotton
#1AN6973,2,"Solt, gentle and absorbent"
#1AN6973,3,Ideal for removing makeup
#1AN2945,1,Easy to fold sheets PROFESSIONAL SALON QUALITY
#1AN2945,2,"5 inch x 8 inch size sheets, 45ct -"
#1AN2946,1,Easy to fold sheets
#1AN2946,2,"5 inch x 11 inch size sheets, 45ct"
#1AN5410,1,Perfect for mixing and applying tints
#1AN5410,2,Angled pour spout and handle
#1AN5411,1,Perfect for mixing and applying tints
#1AN5411,2,Angled pour spout and handle
#1AN5411,3,Non-slip rubberized base
#1AN5411,4,Precise measuring scales
#1AN3560,1,The five piece coloring tool kit has everY1hing you need to dye your hair
#1AN3560,2,"Kit includes frosting cap, 2 latex gloves, needle/ mixer, and tinting brush"
#1AN2910,1,Tinting brush with comb
#1AN2901,1,"The tinting brush is perfect for accurate easy application of color, bleach and hair dyes"
#1AN2901,2,Durable plastic handle
#1AN2914,1,Durable plastic handle
#1AN2915,1,Pointed tip
#1AN2915,2,Durable plastic handle
#1AN3541,1,"Extra large size cap 21"" Diameter"
#1AN3541,2,100pc
#1AN3541,3,Clear
#1AN3542,1,"Extra large size cap 21"" Diameter"
#1AN3542,2,30pc
#1AN3542,3,Clear
#1AN3542,4,"Elitllllrp,b:Ull21""0.."
#1AN3542,5,"U.trc:icndilo-q""-J'G"
#1AN3542,6,JNdllrC.llrOngwi!¥mdnll
#1AN3552,1,"Extra large size cap 21"" Diameter"
#1AN3552,2,10pc
#1AN3552,3,Clear
#1AN3543,1,"Extra large size cap 21"" Diameter"
#1AN3543,2,30pc
#1AN3543,3,Assorted colors
#1AN3553,1,"Extra large size cap 21"" Diameter"
#1AN3553,2,10pc
#1AN3553,3,Assorted colors
#1AN3583,1,10pc
#1AN3583,2,Assorted pastel colors
#1AN3840,1,S m all
#1AN3840,2,100ct
#1AN3842,1,Large
#1AN3842,2,100ct
#1AN3843,1,X-Large
#1AN3843,2,100ct
#1AN3845,1,S m all
#1AN3845,2,10ct
#1AN3846,1,Mediu m
#1AN3846,2,10ct
#1AN3847,1,Large
#1AN3847,2,10ct
#1AN3848,1,X-Large
#1AN3848,2,10ct
#1AN3850,1,Small
#1AN3850,2,50ct
#1AN3852,1,Lar ge
#1AN3852,2,50ct
#1AN4701,1,240ml. PET
#1AN4701,2,Assorted color
#1AN4706,1,350ml PET
#1AN4753,1,Durable plastic
#1AN4753,2,Pink color
#1AN5004-6,1,Stainless steel
#1AN5004-6,2,Comfortable finger rest
#1AN5005-6,1,Stainless steel
#1AN5005-6,2,Comfortable finger rest
#1AN5006-6,1,Stainless steel
#1AN5006-6,2,Comfortable finger rest
#1AN5010-6,1,Stainless steel
#1AN5010-6,2,Comfortable finger rest
#1AN5010-6,3,Assorted color:
#1AN5016-6,1,Titanium coated
#1AN5016-6,2,Stainless steel
#1AN5016-6,3,Comfortable finger rest
#1AN5016-6,4,20 Teeth
#1AN5055,1,Finger rest
#1AN5056,1,"Assorted color: orange, pink, purple, royal blue, green, and yellow"
#1AN5056,2,Finger rest
#1AN5135,1,Assorted color
#1AN5135,2,Stainless steel blade with safety cover
#1AN5135,3,Blades made in Korea
#1AN5135,4,Assembled in Vietnam
#1AN5134,1,Assorted color
#1AN5134,2,Stainless steel blade with safety cover
#1AN5131,1,Assorted color
#1AN5131,2,Swing open stainless steel blade with safety cover
#1AN5131,3,Blades made in Korea
#1AN5131,4,Assembled in Vietnam
#1AN5140,1,Assorted color
#1AN5140,2,Stainless steel blade with safety cover
#1AN5140,3,Blades made in Korea
#1AN5140,4,Assembled in Vietnam
#1AN5136,1,Double sided comb with trimmer
#1AN5136,2,Blades made in Korea
#1AN5136,3,Assembled in Vietnam
#1AN5102,1,Lightweight stainless steel shaper
#1AN5102,2,Excellent for shaping and texturing all kinds of hair
#1AN5104,1,2 Free blades included
#1AN5104,2,Closeness and quality of a professional straight razor shave
#1AN5105,1,Free blade included
#1AN5100,1,12 Packets/disp.
#1AN5100,2,5 Blades/packet
#1AN5100,3,Stainless steel blades made in Japan
#1AN5100,4,Platinum and Teflon coated
#1AN5101,1,10 Packets/box
#1AN5101,2,10 Blades/packet
#1AN5101,3,Stainless steel blades
#1AN5110,1,10 Packets/box
#1AN5110,2,10 Blades/packet
#1AN5110,3,Stainless steel blades made in Germany
#1AN3691,1,Luxury holographic sparkle
#1AN3691,2,Laydown wide edge headband with velcro finish
#1AN3691,3,Over the top button closure
#1AN4548,1,l 00% cotton Reinforced elastic band Unisex design One size fits most
#1AN4693,1,Two clips for strong hold
#1AN4693,2,Luxury material
#1AN4693,3,Comfortable elastic band
#1AN4693,4,Perfect for latch hook hair weaving
#1AN3648,1,Protects your hair both day and night
#1AN3648,2,Ultra comfortable dual layers
#1AN3648,3,Super breathable and stretchy material
#1AN3647,1,Protects your hair both day and night
#1AN3647,2,Ultra comfortable dual layers
#1AN3647,3,Super breathable and stretchy material
#1AN4854,1,Designed specifically for sew in weaves
#1AN4855,1,Designed specifically for sew in weaves
#1AN4856,1,Designed specifically for sew in weaves
#1AN4876,1,Used to attached wefted hair extensions
#1AN4876,2,Easy to use and strong for long-lasting hold
#1AN4876,3,Deluxe high strength nylon (60m)
#1AN3658,1,"Pre-tied top knot, ready to wear"
#1AN3658,2,Ultra-stretch material
#1AN3658,3,Super breathable
#1AN3658,4,One size fits all
#1AN3658,5,Silky material for extra comfort
#1AN3658,6,Super breathable and stretchy material
#1AN4523,1,"60"" Long Super silky wrap scarf One size fits all"
#1AN3673,1,r Wide
#1AN3673,2,Super silky head wrap scarf
#1AN3673,3,One size fits a l l
#1AN4581,1,One size fits all
#1AN4581,2,Thin stocking fabric
#1AN4581,3,Ultra stretch
#1AN3905,1,WM'pfool. Slllill
#1AN3905,2,Adjl.lllabllVelcroClolurtl
#1AN3905,3,JIJl'O)S.Z.5-''IW)XIOcl)
#1AN3910,1,Soft vinyl with nylon neckline
#1AN3910,2,Waterproof and stain resistant
#1AN3910,3,Adjustable velcro closure
#1AN3910,4,Safe for all salon processes
#1AN3910,5,All purpose cape
#1AN3910,6,"Large size 42""(W) x 54""(L)"
#1AN3910,7,Black and burgundy
#1AN3913,1,"45""(W) X 54""(L)"
#1AN3914,1,"Jumbo size 54""(W) x 60""(L)"
#1AN3916,1,"llghtWeighc,Wateq,rool'"
#1AN3916,2,"Soft, DunlbM 100% Nytoo"
#1AN3916,3,"R&v1tl""S!b6e.Black &Silver"
#1AN3916,4,Adjustable Shouder Strap
#1AN3916,5,271w) X 30 (L)
#1AN4863,1,Ideal tool for latch hook weave hairstyle
#1AN3918,1,"Soft durable, l 00% Nylon"
#1AN3918,2,"Lightweight, washable"
#1AN3918,3,"Waterproof, stain resistant"
#1AN3918,4,"28""0/i/) X 28""(L)"
#1AN3918,5,"Adjustable velcro closure #1AN3919 Annie Comb-Out Cape 28"" x 28"" Black Velcro Closure 1 11 11 11"
#1AN3968,1,"Durable, 100% nylon"
#1AN3968,2,HD see-through window perfect for mobile devices and magazines
#1AN3968,3,Adjustable velcro dosure
#1AN3968,4,Water resistant
#1AN3912,1,"Crinkled finish, washable I I"
#1AN3912,2,Adjustable snap-on closure
#1AN3912,3,4 button closure. <II
#1AN3912,4,"45""(W) X 55""(L)"
#1AN3912,5,Blue and white striped
#1AN3912,6,"Cmided f',,-t, Wl""'9ble"
#1AN3912,7,Aqu5tlllNSnap..OnCIDMn
#1AN3912,8,""" (W) X&- (l )"
#1AN3912,9,"Perl«;llorBa,t,ero,Slyhll"
#1AN3159,1,Black
#1AN3159,2,Medium
#1AN3159,3,14mm diameter
#1AN3162,1,Black
#1AN3162,2,Medium
#1AN3162,3,14mm diameter
#1AN3149,1,Black
#1AN3149,2,Large
#1AN3149,3,"26mm diameter JIIWJt,lll IJl)!IIII,"
#1AN3150,1,Assorted color
#1AN3150,2,Large
#1AN3150,3,26mm diameter
#1AN3148,1,Medium
#1AN3148,2,White
#1AN3148,3,14mm diameter
#1AN3148,4,Assorted sizes
#1AN0610,1,1/4Ib(113g)
#1AN0610,2,"3 1/2"" x 1/4"" (Size #64)"
#1AN0610,3,Packaged in a resealable bag
#1AN0610,4,Beige
#1AN0611,1,"1/4Ib 113g) ( !!ll tlJI! I\ / "" ("
#1AN0611,2,Black
#1AN3159,1,Black
#1AN3159,2,Medium
#1AN3159,3,14mm diameter
#1AN3162,1,Black
#1AN3162,2,Medium
#1AN3162,3,14mm diameter
#1AN3149,1,Black
#1AN3149,2,Large
#1AN3149,3,"26mm diameter JrnlJ!mlllIJll!IIII,"
#1AN3150,1,Assorted color
#1AN3150,2,Large
#1AN3150,3,26mm diameter
#1AN3147,1,Black
#1AN3147,2,Medium
#1AN3147,3,14mm diameter
#1AN3148,1,White
#1AN3148,2,Assorted sizes
#1AN3107,1,Black color
#1AN3324,1,Black color
#1AN3324,2,Crimped
#1AN3324,3,"2"" Long"
#1AN3324,4,Ball tipped
#1AN3135,1,Black color
#1AN3135,2,Crimped
#1AN3135,3,"1 3/4"" Long"
#1AN3135,4,Ball tipped
#1AN3322,1,Black color
#1AN3322,2,Crimped
#1AN3322,3,"1 3/4"" Long"
#1AN3322,4,Ball tipped
#1AN3282,1,"3 1/4"" Dia."
#1AN3282,2,"1 1/4"" Thickness"
#1AN3285,1,"3 1/2"" Dia."
#1AN3285,2,"1 1/4"" Thickness"
#1AN3285,3,Firm foam with wire
#1AN3288,1,"3 3/4"" Dia."
#1AN3288,2,"1 1/2"" Thickness"
#1AN3284,1,"12"" Long"
#1AN3284,2,"1 1/4"" Diameter"
#1AN3284,3,Firm foam with wire
#1AN3201,1,Black
#1AN3201,2,An effortless way to keep your hair out of your face
#1AN3205,1,Clear IT ortoise
#1AN3205,2,An effortless way to keep your hair out of your face
#1AN3200,1,Black
#1AN3200,2,An effortless way to keep your hair out of your face
#1AN3204,1,Black/Tortoise
#1AN3204,2,An effortless way to keep your hair out of your face
#1AN3202,1,Black
#1AN3202,2,Effectively holds back any kind of hair with precision and ease
#1AN3206,1,Clear IT ortoise
#1AN3206,2,An effortless way to keep your hair out of your face
#1AN3203,1,Black
#1AN3203,2,Effectively holds back any kind of hair with precision and ease
#1AN3207,1,Clear/Tortoise
#1AN3207,2,An effortless way to keep your hair out of your face
#1AN0610,1,1/4Ib(113g)
#1AN0610,2,"3 1/2"" x 1/4"" (Size #64)"
#1AN0610,3,Packaged in a resealable bag
#1AN0610,4,Beige
#1AN0611,1,1/4Ib (113g)
#1AN0611,2,"31/2"" x 1/4"" (Size #64)"
#1AN0611,3,Packaged in a resealable bag
#1AN0611,4,Black
#1AN3152,1,Black
#1AN3152,2,Assorted sizes
#1AN3152,3,"10mm, 12mm, 16mm, 18mm"
#1AN3153,1,Assorted color
#1AN3153,2,Assorted sizes
#1AN3153,3,"10mm, 12mm, 16mm, 18mm"
#1AN3303,1,Matte black
#1AN3303,2,Crimped
#1AN3303,3,"2"" Long"
#1AN3303,4,Ball tipped
#1AN3103,1,Black color
#1AN3103,2,"2 3/4"" Long"
#1AN3103,3,Ball tipped
#1AN3102,1,Black color
#1AN3102,2,"30pc - 2"" Crimped long"
#1AN3102,3,"20pc - 2 3/4"" long"
#1AN3102,4,Ball tipped
#1AN3108,1,Black color
#1AN3108,2,Crimped
#1AN3108,3,"2"" Long"
#1AN3108,4,Ball tipped
#1AN3109,1,Bronze color
#1AN3109,2,Crimped
#1AN3109,3,"2"" Long"
#1AN3109,4,Ball tipped 11 1
#1AN3301,1,Black
#1AN3301,2,"1 1/2"" Long"
#1AN3301,3,Ball tipped
#1AN3337,1,Black color
#1AN3337,2,Crimped
#1AN3337,3,"2"" Long"
#1AN3337,4,Ball tipped
#1AN3339,1,Black color
#1AN3339,2,Crimped
#1AN3339,3,"2"" Long"
#1AN3339,4,Ball tipped
#1AN3312,1,Black color
#1AN3312,2,Crimped
#1AN3312,3,"1 3/4"" Long"
#1AN3312,4,Micro ball tipped
#1AN3100,1,Black color
#1AN3100,2,Crimped
#1AN3100,3,"1 3/4"" Long"
#1AN3112,1,Black color
#1AN3112,2,Crimped
#1AN3112,3,"1 3/4"" Long"
#1AN3112,4,Micro ball tipped
#1AN3316,1,Black color
#1AN3316,2,Crimped
#1AN3316,3,"2 1/2"" Long"
#1AN3316,4,Ball tipped
#1AN3317,1,"Black color, Crimped"
#1AN3317,2,"30pc - 2 1/2"" Long"
#1AN3317,3,"30pc - 2"" Long"
#1AN3317,4,"40pc - 1 3/4"" Long"
#1AN3317,5,Ball tipped
#1AN3327,1,Black color
#1AN3327,2,Crimped
#1AN3327,3,"3"" Long"
#1AN3327,4,Ball tipped
#1AN3332,1,Black color
#1AN3332,2,Crimped
#1AN3332,3,"1 1/2"" Long"
#1AN3332,4,Ball tipped
